CompCor00	CompCor01	CompCor02	CompCor03	CompCor04	CompCor05
-0.0990193896	-0.0925132384	-0.0112009623	0.0035309066	-0.1961936757	0.0816827409
0.0381836944	0.1020431302	0.0145324844	0.0768411682	-0.1049069589	0.0064930742
0.0393464460	-0.0969849468	0.0335926157	0.0478621021	-0.0401889377	-0.0122719695
0.0305068091	0.1267609921	-0.0113826959	-0.0585983268	0.0028557032	-0.1072773690
0.0251057593	-0.0472525207	-0.0173675982	0.1273335812	-0.0159159430	-0.0043121941
0.0499908030	-0.0194219059	-0.1513745293	-0.1007237276	-0.0809482692	-0.0512176472
0.0006877431	0.0262247573	0.0240299413	0.1179414047	-0.0377125959	-0.0102383542
0.1331296923	-0.1191221599	-0.0544260592	-0.0267715201	-0.0813824663	-0.0466396082
0.0996093575	0.1311083936	0.0911578164	-0.0220389924	0.0409783420	-0.0945993940
0.0255147363	-0.0818070376	0.1046800073	0.0350022479	-0.0311082193	-0.0609871569
-0.0411865252	0.0721538481	0.0371489262	-0.1099032809	-0.0734438588	-0.0939050240
-0.0523126400	-0.0320332940	0.0087573768	0.0933456776	-0.0229355920	-0.0676430615
-0.0415707435	-0.0603882291	-0.1044929120	-0.0703053000	-0.0728085302	-0.1485381005
-0.0123947494	0.1272439095	-0.0075740561	0.0979529086	-0.0045919236	-0.0074760764
-0.0407728497	-0.0896626428	-0.0532812739	-0.0068069870	0.0321523432	0.0930725752
0.0821235530	0.0675628968	-0.0503801235	-0.0602904005	-0.1098373443	0.0388563131
0.0777539888	0.0561973703	0.0613497575	0.0558318467	0.0820093086	0.1105470423
0.0720833776	-0.1141887326	0.0393794385	0.0278053341	0.0109104635	0.1209245635
0.0624252574	0.0512789535	0.0137177522	-0.1501135259	-0.0324592993	0.0015551303
0.0374633259	0.0576883227	0.1276244761	0.0593016838	0.0504346494	-0.0749218128
-0.0257534604	-0.0534605617	0.0585238371	-0.1139660525	-0.0123741699	-0.0708035820
-0.0792679021	-0.0172621360	0.0591569176	0.0225237783	0.0215142991	0.1002511807
-0.0674178723	-0.0503391048	-0.0525974417	-0.0674570732	-0.0889214712	0.0768192194
-0.0010124286	0.1272620194	0.0124696760	0.0567388864	-0.0187349151	-0.0205951073
-0.0111285366	-0.0555071707	-0.0072280273	-0.0347294434	0.0278294556	-0.0991520626
-0.0410751848	0.0932980241	0.0615353893	-0.0348755646	0.0850962563	-0.0145681423
-0.0492018399	-0.0274925712	-0.0275811001	-0.0303534028	0.0630972368	0.0808350581
-0.0181891000	0.0227936520	-0.0618910425	0.0280167505	0.0611877701	0.1053277478
0.0580620258	-0.0670179878	-0.1075558177	0.0603262697	-0.1344495523	0.0537892388
0.1626110090	0.1457467112	-0.0510524956	0.0088426845	-0.0111580535	0.0665555153
0.1216844172	-0.2053299605	0.0394895063	0.0296765212	0.0933830925	-0.0427662428
0.0180766504	0.0520843196	0.0474272044	-0.1561694331	-0.0916146105	-0.1084733909
0.0238549724	-0.0064774132	0.1784754419	0.1016518418	-0.0007495138	0.0868889528
-0.0687084280	-0.0460649867	0.0636636104	-0.0704182222	-0.0344436219	-0.0926523614
-0.1041476658	-0.0257929950	0.0218509383	0.0211986433	0.0061324258	-0.0958952391
-0.1199781915	0.0430585050	-0.0678238620	-0.0653484271	-0.0731799652	-0.0644477697
-0.0164237009	0.0182841042	-0.0251298919	0.1438979915	-0.0769132334	0.0953740338
0.0891961863	-0.0083143768	-0.0161398125	-0.0337294242	-0.1431954478	-0.0558641994
0.0149409704	0.0823710347	0.1584582862	0.0417670380	0.0589184693	-0.0424030571
-0.0645538719	-0.1477242978	0.0576599533	-0.0139256646	-0.0362782368	-0.0775052544
-0.0707137575	0.1778982067	0.0063670992	-0.0016538517	-0.0563581168	-0.0342737634
-0.0153196024	-0.0726440556	-0.0514548742	0.1056333692	0.0344210266	0.0341182124
-0.0068217753	-0.0123698828	-0.0971887827	-0.1332551720	0.0570964892	0.0131472411
-0.0170153467	0.0340082968	-0.0227018411	0.0964241452	0.1736158218	0.0575453538
0.0031497996	-0.0933513127	-0.1420058952	-0.0623336052	0.1402315370	0.1111082710
0.0218291205	0.1256482683	-0.0735824061	0.0023590974	0.1309201600	0.0994915785
0.0389106007	-0.0685143041	-0.1385619436	-0.0155350667	0.1072830765	-0.0763426171
0.0828073836	0.0980408141	-0.1043507385	-0.0001965039	0.0423564370	-0.0605456769
0.1481156010	-0.1001624193	-0.0585605001	0.0921460049	0.0712886905	0.1353187306
0.1468137693	0.0517325805	-0.0563306452	-0.2405041513	0.1303044671	0.1024155199
0.0796401896	-0.0262519380	0.1446375289	0.0727352612	0.1751701456	0.0399303134
0.0107202485	-0.1115719694	0.0871656416	-0.1675062323	0.0163714456	0.1642383600
-0.0538124495	0.1280380650	0.1669428298	-0.0069864252	0.0804590844	0.1442752148
-0.1108083104	-0.0435793040	0.0681404670	-0.0455929856	0.0342835799	0.0065712620
-0.1437439142	0.0515097406	0.0171530908	0.0608579048	0.0576751649	-0.0618087698
-0.1264108674	-0.0056090666	-0.1001475319	-0.0018362399	-0.0099333435	-0.0627311570
-0.0798893534	0.0177787102	-0.0946605158	0.0578379294	0.0782347777	-0.0760498063
-0.0835515137	-0.0828371029	-0.1316668499	-0.0747307569	0.0527464456	-0.1011599513
-0.0328578906	0.1074439318	-0.0493142289	0.0981472073	0.1081869376	-0.0373814706
-0.0129208716	-0.0775381710	-0.1275370815	0.0246393939	0.1066579055	-0.0590776264
0.0230297767	0.1167974359	-0.0983231260	0.0651801728	0.0893692290	-0.0302154614
0.1024309216	-0.1273808375	-0.1032178423	0.1082638793	-0.0294387112	0.1488864074
0.2123990455	0.1196708106	-0.1233113101	-0.0986527076	0.0140379648	-0.0778617168
0.1530636646	-0.0509546776	0.0579303006	0.1135736889	0.2226421115	-0.1084368232
0.0797163141	-0.1505576685	0.0828715152	-0.1391295384	0.0454251971	-0.0706785149
-0.0135201806	0.1060784857	0.1706558910	-0.0645215824	-0.0027960807	-0.0785713636
-0.1076292041	-0.0705270584	0.1058388763	-0.0324964477	0.0217548855	-0.0692699875
-0.1626014242	-0.0435741847	-0.0127151086	-0.1084833902	0.0153566047	0.0532483380
-0.1601152650	0.0060572988	-0.0060652518	0.0837122108	-0.0287465552	0.1791566819
-0.1030503108	-0.0072243645	-0.1225788523	-0.0262297720	-0.1377581176	0.0175158633
0.0019894821	0.1491628793	0.0590343683	0.1389022114	-0.0603738191	0.1391859146
-0.0063661005	-0.1364174890	0.0712025062	0.0052575231	-0.0464192697	0.1440343833
-0.0543848373	0.1075246419	0.0957437733	-0.1147072821	-0.0538591457	0.1886851962
-0.0944898768	-0.0227938383	0.0865743441	0.0147069953	-0.0078453965	0.0623424364
-0.1038471450	0.0863435783	0.0052276984	-0.0354597601	-0.0282895389	0.0054050776
-0.1205307363	0.0013930172	-0.0844781175	0.0540175068	-0.0068521726	-0.1230425313
-0.0736815242	0.0737139906	-0.0937328786	0.1128808751	-0.0609692120	-0.0337314620
0.0641130799	-0.0679411148	-0.1079584538	0.1065717655	-0.0919884136	0.1217943835
0.1537564252	0.1090045622	-0.0546339065	-0.0728956167	-0.0038381291	-0.0795606559
0.0520319200	-0.1195240247	0.0825534639	0.0061281432	0.2043610091	-0.0463446499
-0.0082214987	0.0383786968	0.0701825080	-0.2328542870	0.0690579293	0.1807579559
-0.0823977950	-0.0180769445	0.0320856668	0.0620822450	0.1066824782	-0.0607774796
-0.0754284171	-0.0279239301	-0.1007771088	-0.0834084437	-0.0064079256	-0.0671159621
-0.0219969588	0.0214608988	-0.0917823370	0.0911350589	0.0786178241	-0.1001213589
-0.0377297207	-0.0751542574	-0.1065186644	-0.1064975646	0.0960660239	-0.0499005607
-0.0648036663	0.0200168697	-0.0349320355	-0.0034510331	0.1887616268	0.0718076649
-0.0723140557	-0.0760133100	-0.0903319645	-0.0487332344	0.0949458834	0.1276770724
-0.0276669348	0.1148278045	-0.0917726374	-0.0210057404	0.0433769802	0.0223520205
0.0697947749	-0.0309393903	-0.0108686220	0.1026823058	0.0322166638	0.0345242341
0.0304216674	-0.0653137899	0.0470530133	-0.0394762023	-0.0387030792	0.0134472206
-0.0164276416	0.1469399211	0.0923965865	-0.0086342661	-0.0391949409	0.0002425790
0.0271636926	-0.0827516226	0.1142312530	0.1400552190	-0.0661597190	0.1239664870
