std DVARS	non-std DVARS	vx-wise std DVARS
1.77422917	12.20844936	1.71027088
1.06003201	7.29406691	0.85107297
0.82538617	5.67947197	0.77777749
0.61406690	4.22538662	0.56427705
0.89215207	6.13888741	0.91218877
1.21476603	8.35879040	1.11244047
1.71341097	11.78995991	1.65419269
1.06744301	7.34506178	0.96566921
1.17695749	8.09862995	1.05411780
0.92934585	6.39481735	0.86403245
0.67261755	4.62827301	0.59161729
0.58760101	4.04327536	0.51977336
0.89976227	6.19125319	0.87000591
1.03529549	7.12385511	0.97594404
1.56964457	10.80070496	1.64267910
0.86531615	5.95422983	0.78170037
0.61339867	4.22078848	0.50560838
0.77645075	5.34274817	0.74614358
0.71860021	4.94467926	0.63642883
0.94968563	6.53477526	0.93062484
0.93761301	6.45170355	0.78592891
0.54262120	3.73376989	0.49090636
1.16984618	8.04969692	1.03741562
0.79732031	5.48635101	0.64547020
0.72116077	4.96229839	0.66207886
0.58258712	4.00877476	0.52514637
0.60989785	4.19669962	0.57298881
1.06429315	7.32338762	0.98462826
1.51998210	10.45897770	1.39931536
1.41194427	9.71557140	1.25557995
1.69807982	11.68446636	1.40763164
1.08808160	7.48707581	0.90625077
1.23307371	8.48476505	1.18484557
0.72666442	5.00016880	0.60620004
0.56132334	3.86245894	0.58422470
1.31632972	9.05764866	1.32698023
1.49765801	10.30536652	1.28066146
1.16621506	8.02471161	1.06337655
1.32116044	9.09088898	1.16859698
1.08760226	7.48377752	0.90748125
1.14507508	7.87924767	0.98268247
0.66303575	4.56234074	0.56853700
0.71934783	4.94982338	0.54570091
0.80234432	5.52092123	0.67123026
0.93811637	6.45516729	0.84161919
0.77022082	5.29988003	0.66896510
0.80787045	5.55894661	0.76844996
1.03739393	7.13829470	0.94639695
0.93932372	6.46347475	0.76618344
1.33537889	9.18872547	1.13663137
1.36202228	9.37205887	1.20527279
1.27678776	8.78556061	0.95842785
1.08349669	7.45552731	0.94641042
0.81089443	5.57975435	0.69795519
0.62303698	4.28710985	0.56945127
0.74820298	5.14837551	0.61737514
0.55288160	3.80437160	0.47945470
0.98831946	6.80061388	0.96110940
0.74744332	5.14314842	0.63181889
0.80930358	5.56880808	0.73176062
1.12141430	7.71643782	1.02682424
1.62893045	11.20865059	1.47161734
1.22400069	8.42233372	1.16837776
1.35275972	9.30832291	1.23979270
1.43873262	9.89990139	1.15043116
1.33499002	9.18604946	1.25232685
0.90828174	6.24987555	0.83416456
0.61829627	4.25448895	0.58208936
1.02795100	7.07331800	0.94410914
1.52142251	10.46888924	1.44070065
1.10655200	7.61417103	0.87742716
0.96794456	6.66041470	0.76466691
0.85038096	5.85146093	0.76690036
0.69469088	4.78015947	0.66319823
0.61069590	4.20219088	0.69207764
0.72007406	4.95482063	0.65879488
1.57262516	10.82121468	1.49652433
1.44192541	9.92187119	1.26837778
1.53505099	10.56266689	1.48984492
1.26941752	8.73484612	1.14845860
1.40635419	9.67710590	1.15851402
0.68108612	4.68654537	0.62363017
0.86759883	5.96993685	0.79435557
0.67873818	4.67038918	0.62649429
0.71396476	4.91278267	0.61272746
0.53460264	3.67859411	0.47463921
0.93772507	6.45247459	0.86296505
1.17756546	8.10281372	1.15101767
0.92669958	6.37660837	0.81165385
1.11311245	7.65931320	0.80664212
0.94065684	6.47264814	0.83249897
0.83936191	5.77563906	0.75970680
0.87944692	6.05146360	0.79386848
0.86172098	5.92949152	0.70379090
1.03939259	7.15204763	0.80644065
0.93911183	6.46201706	0.90342754
0.88366890	6.08051491	0.68313903
0.71708614	4.93426085	0.60429120
1.15989041	7.98119164	1.10854650
1.35495663	9.32343960	1.29270327
1.35028172	9.29127216	1.19707465
0.88286513	6.07498407	0.79321414
1.26722896	8.71978664	1.21685553
1.23785067	8.51763535	0.96265012
0.90543967	6.23031902	0.82299358
0.72234029	4.97041464	0.74149674
0.75126672	5.16945696	0.65169287
0.62373143	4.29188824	0.57050318
1.24001539	8.53253078	1.12590480
0.64400601	4.43139744	0.58637410
0.55388397	3.81126881	0.50631690
0.51372963	3.53496718	0.47601989
1.08051872	7.43503618	1.00210083
1.56574702	10.77388573	1.43759882
1.11802387	7.69310808	0.91375595
1.21578181	8.36577988	1.11966729
0.84688950	5.82743597	0.79103440
0.97093081	6.68096304	0.79410076
0.89435029	6.15401316	0.80514926
0.90819085	6.24924994	0.77762222
0.57127035	3.93090439	0.49314779
0.55253071	3.80195713	0.56409973
0.70233113	4.83273172	0.66211939
1.77016115	12.18045712	1.73024976
1.35476136	9.32209587	1.21920228
1.09000111	7.50028419	0.94909388
1.08068800	7.43620062	1.04399550
1.59893548	11.00225544	1.51196170
1.15041244	7.91597366	1.16004407
0.87050271	5.98991823	0.88500386
1.12111068	7.71434879	0.91412824
1.04362750	7.18118811	0.97189170
1.06608438	7.33571386	0.87671363
0.98733407	6.79383373	0.90815562
0.61528498	4.23376846	0.50622576
0.85432535	5.87860203	0.85375351
1.54773772	10.64996433	1.31947958
1.27230799	8.75473595	1.20571017
0.98991841	6.81161642	0.95019269
0.82473004	5.67495728	0.69981325
0.67345297	4.63402176	0.62029326
1.15335906	7.93624973	1.08467889
1.94876993	13.40946198	1.79987836
