std DVARS	non-std DVARS	vx-wise std DVARS
1.02614689	46.13254166	1.03138077
1.00287402	45.08626175	1.00759554
0.99519873	44.74120331	1.00117052
0.98414588	44.24430084	0.99128556
0.99663579	44.80580902	1.00315821
1.01087773	45.44608688	1.01558208
1.02611482	46.13109970	1.03111815
0.99810332	44.87178421	1.00487256
0.99797654	44.86608505	1.00565827
0.99304652	44.64444733	1.00038719
0.98835659	44.43360138	0.99516535
0.98893982	44.45981979	0.99494523
0.99873704	44.90027618	1.00511098
1.00246286	45.06777573	1.00878644
1.01578557	45.66672516	1.02168858
0.99274778	44.63101578	0.99834406
0.98476100	44.27195358	0.99062866
0.99458098	44.71343231	1.00153971
0.99546313	44.75308990	1.00100470
0.99826199	44.87891769	1.00534236
0.99520999	44.74171066	1.00128126
0.98400915	44.23815155	0.98975819
1.00132990	45.01684189	1.00694978
0.99825555	44.87862778	1.00407183
0.98534435	44.29817963	0.99233347
0.98908579	44.46638489	0.99593490
0.98853803	44.44175720	0.99506092
0.99560696	44.75955582	1.00143826
1.01286674	45.53550339	1.01875401
1.00570488	45.21352768	1.01349378
1.01857841	45.79228592	1.02603555
1.00144422	45.02198410	1.00790453
1.00301409	45.09255600	1.00982821
0.99029887	44.52091980	0.99768418
0.98534334	44.29813385	0.99285692
1.00698030	45.27087021	1.01301622
1.01811934	45.77164459	1.02444184
1.00307143	45.09513855	1.00861120
1.00509489	45.18610764	1.01126945
1.00684750	45.26490021	1.01321816
0.99947822	44.93359756	1.00536096
0.98953199	44.48644257	0.99619979
0.99301255	44.64291763	1.00030255
0.99342108	44.66128540	0.99959779
0.99666750	44.80723572	1.00284934
0.99343014	44.66169357	0.99925691
0.99449456	44.70954514	1.00170898
0.99752158	44.84563065	1.00400352
0.99697101	44.82088089	1.00337005
1.00510371	45.18650436	1.01121998
1.00907099	45.36485672	1.01416302
1.00863624	45.34531403	1.01421762
0.99894238	44.90950775	1.00540793
0.99103189	44.55387497	0.99807161
0.98721915	44.38246536	0.99479079
0.98941910	44.48136902	0.99680805
0.99300581	44.64261627	0.99912769
0.99995488	44.95502472	1.00538194
0.99329793	44.65575027	0.99906510
0.98952109	44.48595428	0.99605292
0.99712455	44.82778168	1.00378680
1.01130939	45.46549225	1.01757276
1.00008643	44.96093750	1.00949550
1.01536953	45.64802551	1.02320790
1.00863552	45.34528351	1.01598668
1.00182688	45.03918457	1.00893021
0.99130368	44.56609344	0.99845570
0.98734939	44.38832092	0.99462062
0.99292147	44.63882446	0.99884909
1.01288331	45.53624725	1.01822519
1.00262153	45.07490921	1.00975716
1.00058544	44.98337555	1.00762773
0.99085861	44.54608536	0.99738449
0.98594433	44.32515335	0.99350995
0.98563325	44.31116867	0.99299866
0.98635095	44.34343338	0.99387145
1.00929737	45.37503433	1.01573372
1.01009607	45.41094208	1.01653337
1.01144803	45.47172165	1.01812482
1.00989294	45.40180969	1.01495862
1.00651407	45.24990845	1.01115763
0.99027359	44.51978302	0.99646753
0.99311638	44.64758682	0.99940968
0.99119431	44.56117630	0.99909335
0.99421191	44.69683838	1.00126612
0.99072891	44.54025269	0.99813640
0.99486202	44.72606659	1.00106478
1.00213134	45.05287552	1.00871420
0.99533916	44.74751663	1.00143623
0.99786460	44.86105347	1.00351667
0.99178672	44.58781052	0.99678028
0.99373591	44.67543793	0.99872833
0.99582928	44.76955032	1.00060058
0.99480152	44.72334671	1.00055563
1.00088930	44.99703598	1.00669956
0.99444151	44.70716095	1.00099015
0.99602187	44.77820969	1.00258601
0.98989385	44.50271225	0.99656826
0.99880546	44.90335083	1.00494802
1.00891662	45.35792160	1.01568854
1.00445580	45.15737534	1.01111019
0.99133068	44.56730652	0.99973476
0.99909973	44.91658020	1.00618994
1.00762081	45.29966354	1.01356184
0.99059761	44.53435135	0.99755770
0.99148232	44.57412338	0.99804938
0.99387705	44.68178558	1.00046778
0.99181908	44.58926392	0.99812752
1.00253379	45.07096481	1.00915837
0.98926437	44.47441101	0.99565154
0.98966646	44.49248886	0.99534339
0.99080932	44.54386902	0.99614561
0.99921709	44.92185593	1.00655770
1.01145232	45.47191620	1.01889324
0.99513662	44.73841095	1.00283384
1.00341368	45.11052322	1.01192904
0.99805623	44.86966705	1.00635946
0.99425018	44.69855881	1.00035870
0.99011832	44.51280212	0.99756360
0.99214506	44.60391998	0.99865443
0.98577696	44.31762695	0.99260348
0.98791009	44.41352844	0.99495101
0.99632686	44.79191971	1.00322104
1.02586913	46.12005234	1.03166246
1.00677860	45.26179886	1.01377499
1.00023448	44.96759415	1.00743818
1.00299633	45.09175873	1.00969684
1.01794922	45.76399612	1.02329385
1.00330460	45.10562134	1.00892127
0.99691880	44.81853104	1.00207353
1.00377178	45.12662125	1.00803423
0.99532372	44.74682236	1.00133526
0.99898863	44.91158676	1.00432634
0.99765611	44.85168076	1.00300109
0.98767352	44.40289307	0.99447954
0.99686199	44.81597900	1.00289774
1.01743543	45.74090195	1.02337885
1.00845182	45.33702087	1.01335168
0.99115908	44.55959320	0.99741715
0.99168968	44.58344650	0.99730098
0.99253482	44.62144089	0.99906826
1.00355077	45.11668777	1.00910997
1.02972329	46.29332352	1.03513253
