std DVARS	non-std DVARS	vx-wise std DVARS
1.74299371	12.61809063	1.64909470
1.06311381	7.69622183	0.85424113
0.84760612	6.13609266	0.81821108
0.65333289	4.72968626	0.61943245
0.89894545	6.50775433	0.90550953
1.21659458	8.80731869	1.09400272
1.67555559	12.12988472	1.59161997
1.08339059	7.84301233	0.96606445
1.16498578	8.43370533	1.06163871
0.93336451	6.75692511	0.86779070
0.68757170	4.97755194	0.63489717
0.61991161	4.48773909	0.56959605
0.91525221	6.62580442	0.88591063
1.04619515	7.57374191	0.99030662
1.54667377	11.19686794	1.59224665
0.90895379	6.58020782	0.82929254
0.66557658	4.81832218	0.58296818
0.80752689	5.84594631	0.77028757
0.76519799	5.53951359	0.69623703
0.95609981	6.92151308	0.94217187
0.95828050	6.93729973	0.82145184
0.60672098	4.39224768	0.56981462
1.16719437	8.44969463	1.04591715
0.82549220	5.97600269	0.68677616
0.76186186	5.51536226	0.71956623
0.63917190	4.62717056	0.60343647
0.65488279	4.74090672	0.61037344
1.07041264	7.74906015	0.99039096
1.49414229	10.81657505	1.37011838
1.38458014	10.02341938	1.23278236
1.66087282	12.02359104	1.38013256
1.09130132	7.90028048	0.90463293
1.23199737	8.91882420	1.16562033
0.75450784	5.46212435	0.65938437
0.60603046	4.38724899	0.62645066
1.29752231	9.39317989	1.30751574
1.46901989	10.63470650	1.27705431
1.17054975	8.47398472	1.06230140
1.32322466	9.57924747	1.18284547
1.08877409	7.88198471	0.91235822
1.14354873	8.27851582	0.97189420
0.71062821	5.14446545	0.64522725
0.75652188	5.47670460	0.61713308
0.83027261	6.01060963	0.72602320
0.95136517	6.88723755	0.87148011
0.79774702	5.77514648	0.70888329
0.83170539	6.02098227	0.81326073
1.05592036	7.64414597	0.96394295
0.95979160	6.94823933	0.79245031
1.31238651	9.50078678	1.11692595
1.35086322	9.77933216	1.18076611
1.27044797	9.19718075	0.95858985
1.08278453	7.83862495	0.96677017
0.83684814	6.05821228	0.72513068
0.65680492	4.75482130	0.59812993
0.75482613	5.46442842	0.64704037
0.60400975	4.37262011	0.57230473
0.99798799	7.22475529	0.98165137
0.76047373	5.50531340	0.64703345
0.81451970	5.89656925	0.75911158
1.10357070	7.98910236	1.02250314
1.56836927	11.35392857	1.42921257
1.20768416	8.74281311	1.15492857
1.33652461	9.67553043	1.23244441
1.41359866	10.23349380	1.13666415
1.31312907	9.50616264	1.22714543
0.91842830	6.64879704	0.86609894
0.67908049	4.91608143	0.63121456
1.03712058	7.50804853	0.95091146
1.50195217	10.87311363	1.42527664
1.11545670	8.07514858	0.90529364
0.97154069	7.03329468	0.79305959
0.87214690	6.31375122	0.80886090
0.74485797	5.39226580	0.71576804
0.65778452	4.76191330	0.72519088
0.73609877	5.32885504	0.69072533
1.53408349	11.10572243	1.45535541
1.42515075	10.31712341	1.26574397
1.49623787	10.83174610	1.45283043
1.26497495	9.15755939	1.14150560
1.38895750	10.05510902	1.14315426
0.70594859	5.11058807	0.64705223
0.88900906	6.43582153	0.84197581
0.71440542	5.17181015	0.65613848
0.75257289	5.44811678	0.65868294
0.58751327	4.25319719	0.54614806
0.93651187	6.77970982	0.86877376
1.17249429	8.48806190	1.13168228
0.95774460	6.93342018	0.86345297
1.12361884	8.13423729	0.84493715
0.95169777	6.88964558	0.83194560
0.87348861	6.32346439	0.79212648
0.89815402	6.50202513	0.80168110
0.88962942	6.44031286	0.75098687
1.05828381	7.66125631	0.85911107
0.95252138	6.89560795	0.90762192
0.90432370	6.54668951	0.70910978
0.74872917	5.42029047	0.63489658
1.13185096	8.19383240	1.08437252
1.33367312	9.65488720	1.26749778
1.32117856	9.56443501	1.17863226
0.91876858	6.65126038	0.83594292
1.27261531	9.21287060	1.20030308
1.23716104	8.95620537	0.97619855
0.91360980	6.61391449	0.84379852
0.74628329	5.40258408	0.77966118
0.77679962	5.62350178	0.68377793
0.66632313	4.82372665	0.63043702
1.23850405	8.96592808	1.11526275
0.69811267	5.05386162	0.63143003
0.59265649	4.29043055	0.54166514
0.56133068	4.06365299	0.53961813
1.06290245	7.69469166	0.97421056
1.52966678	11.07374859	1.41040230
1.12791789	8.16535950	0.92255348
1.19728959	8.66756344	1.08068323
0.86928767	6.29305220	0.81442702
0.98002309	7.09470129	0.81438094
0.89829582	6.50305176	0.81349540
0.92455888	6.69317818	0.79908550
0.62828439	4.54835224	0.57701439
0.62856984	4.55041885	0.64801639
0.73292321	5.30586624	0.69648039
1.70995820	12.37893581	1.65851116
1.34670842	9.74925423	1.23080468
1.09358120	7.91678524	0.95179212
1.06989193	7.74529123	1.03049242
1.55290532	11.24197960	1.45297301
1.15682447	8.37462330	1.13456631
0.90340191	6.54001617	0.90792614
1.11564183	8.07648945	0.91069895
1.04441488	7.56085396	0.96508980
1.06776524	7.72989511	0.88575745
0.99414694	7.19694853	0.91408974
0.66343039	4.80278540	0.56625819
0.86686206	6.27549267	0.85870194
1.52215159	11.01934338	1.28145087
1.26610219	9.16571999	1.18301070
0.99644464	7.21358252	0.95755279
0.84217632	6.09678459	0.71156633
0.71259111	5.15867567	0.66773653
1.14623117	8.29793549	1.09666407
1.89342511	13.70711136	1.74533725
