std DVARS	non-std DVARS	vx-wise std DVARS
1.68795323	12.00374222	1.62470877
1.00289965	7.13203955	0.80609590
0.78206527	5.56159353	0.74125290
0.57420981	4.08344650	0.52060521
0.84900576	6.03763533	0.84416258
1.15626073	8.22265434	1.06071484
1.64627063	11.70732021	1.56988943
1.00641441	7.15703392	0.88942450
1.12100065	7.97190523	1.00245070
0.88902640	6.32223892	0.82127452
0.64478284	4.58532095	0.55733126
0.56041479	3.98534417	0.48905483
0.86380416	6.14287329	0.82458550
0.99409825	7.06944895	0.94316244
1.51122642	10.74696350	1.55956697
0.82194954	5.84522724	0.74316233
0.57726693	4.10518694	0.47569790
0.73895311	5.25500488	0.70500541
0.67851979	4.82523823	0.59252840
0.90834868	6.45964766	0.89109844
0.89552146	6.36842823	0.73945665
0.51444501	3.65843391	0.46079990
1.11583781	7.93519020	0.99322689
0.76107907	5.41235209	0.61292815
0.67673939	4.81257725	0.61384803
0.53364629	3.79498219	0.47182587
0.56633085	4.02741575	0.53486139
1.01593280	7.22472334	0.93328941
1.45138347	10.32139587	1.33311510
1.34584463	9.57086468	1.20945919
1.62505162	11.55642223	1.35456073
1.02583432	7.29513741	0.85983747
1.17591870	8.36245060	1.12219799
0.69566685	4.94717836	0.55784428
0.51681155	3.67526340	0.52942127
1.25639915	8.93478012	1.26219773
1.43475664	10.20315552	1.21379232
1.11390424	7.92143917	1.01169920
1.25581503	8.93062687	1.11056209
1.04375148	7.42255354	0.86613160
1.10094011	7.82924652	0.93860382
0.62967771	4.47790194	0.53817302
0.69149005	4.91747522	0.51564825
0.75801194	5.39054012	0.62490821
1.95407927	13.89627552	2.21733260
1.86177742	13.23987865	2.14092827
0.77048296	5.47922707	0.73112667
0.98313975	6.99151850	0.90035033
0.89648056	6.37524843	0.74111414
1.26549304	8.99945068	1.10017204
1.28986812	9.17279243	1.15575302
1.22147071	8.68638992	0.91589522
1.03938818	7.39152431	0.90014261
0.76267636	5.42371082	0.65367854
0.59518754	4.23262787	0.54496545
0.70759207	5.03198338	0.58155644
0.52118379	3.70635629	0.44984913
0.94182414	6.69770575	0.90857840
0.71333790	5.07284451	0.58526516
0.76708686	5.45507574	0.68814659
1.06621826	7.58232450	0.97036356
1.56788909	11.14991570	1.40877163
1.17107642	8.32801437	1.13105381
1.29067898	9.17855835	1.18482041
1.38481033	9.84796619	1.09859991
1.28769600	9.15734577	1.19521630
0.86491674	6.15078497	0.77804792
0.58984178	4.19461203	0.54678500
0.98185337	6.98237038	0.89561850
1.44717062	10.29143620	1.36241806
1.05864906	7.52849674	0.85056406
0.92821324	6.60091305	0.73387456
0.81072259	5.76538801	0.72342473
0.65615076	4.66616297	0.62024182
0.57624769	4.09793854	0.63967347
0.68362319	4.86153078	0.63678163
1.50901401	10.73123074	1.41552520
1.38599765	9.85641003	1.20393944
1.46956098	10.45066357	1.44511032
2.14345956	15.24303818	2.35205889
2.26193285	16.08555222	2.37260199
0.65059733	4.62666988	0.59580821
0.82897419	5.89518261	0.76179707
0.63786948	4.53615713	0.58410197
0.66991252	4.76402855	0.56698525
0.50444132	3.58729362	0.43992171
0.89056772	6.33319998	0.82331455
1.11857939	7.95468616	1.07890427
0.88036716	6.26065969	0.76690859
1.06275630	7.55770540	0.76966912
0.88644820	6.30390453	0.79135925
0.79645121	5.66389799	0.72332227
0.82786417	5.88728857	0.74939054
0.81739652	5.81284904	0.67056209
0.99891514	7.10370398	0.76838326
0.89925939	6.39500999	0.85621208
0.83461773	5.93531609	0.64825594
0.68478990	4.86982775	0.58382434
1.10339868	7.84672976	1.05661845
2.24841809	15.98944187	2.49609423
2.18734026	15.55509186	2.36568594
0.82534045	5.86934137	0.74695617
1.20708477	8.58408546	1.16587198
1.18094623	8.39820290	0.91153103
0.86974126	6.18509436	0.78614581
0.68732256	4.88783836	0.69161117
0.71321571	5.07197571	0.60887533
0.59178871	4.20845747	0.54198176
1.18103564	8.39883900	1.08158064
0.60242766	4.28411531	0.54839170
0.51453263	3.65905690	0.46600056
0.48913845	3.47846842	0.45257092
1.02408659	7.28270864	0.94552422
1.50275743	10.68673706	1.37088239
1.05686116	7.51578188	0.86221349
1.14930356	8.17317867	1.07855213
0.80743837	5.74203253	0.75486469
0.91643631	6.51716232	0.75860363
0.84590167	6.01556110	0.75951338
0.85704899	6.09483433	0.72661674
0.54774785	3.89526439	0.46243984
0.51890528	3.69015288	0.52849239
0.66288972	4.71408653	0.63515520
1.69833422	12.07756615	1.63878953
1.29842734	9.23366070	1.15601850
1.03172565	7.33703327	0.90382242
1.03454757	7.35710096	0.99445385
1.52650762	10.85563469	1.42611361
1.08524668	7.71764326	1.09494114
0.82220763	5.84706259	0.82161343
1.06426454	7.56843090	0.86860007
0.99485278	7.07481480	0.92117095
1.01689529	7.23156786	0.82820243
0.93902862	6.67782593	0.87074357
0.57924068	4.11922312	0.47511721
0.80725098	5.74069977	0.79854977
1.47379303	10.48075962	1.27066886
1.21178353	8.61750031	1.17620599
0.93392044	6.64149952	0.88806748
0.78378576	5.57382870	0.65758163
0.63406819	4.50912428	0.58370423
1.10474586	7.85631084	1.03086615
1.87742615	13.35116386	1.70549548
