std DVARS	non-std DVARS	vx-wise std DVARS
1.54499698	12.61793995	1.44425201
0.94234890	7.69613266	0.76048368
0.75132143	6.13601780	0.72147053
0.57911718	4.72963095	0.54536134
0.79682958	6.50768137	0.78942949
1.07839441	8.80721188	0.96855515
1.48522007	12.12974358	1.38773286
0.96032196	7.84291792	0.85629928
1.03264880	8.43360901	0.93363553
0.82733881	6.75684929	0.75916970
0.60946679	4.97749519	0.55637634
0.54949260	4.48768806	0.49528098
0.81128287	6.62572098	0.78235781
0.92735207	7.57365417	0.87754196
1.37097883	11.19673920	1.38201845
0.80570036	6.58012867	0.73270398
0.58997059	4.81827068	0.51523989
0.71579546	5.84587812	0.67770773
0.67827469	5.53944731	0.61028397
0.84749019	6.92142487	0.82454175
0.84942365	6.93721533	0.71928835
0.53780007	4.39219570	0.49715155
1.03460753	8.44960594	0.92397422
0.73171979	5.97593164	0.61282319
0.67531812	5.51530123	0.63148993
0.56656504	4.62711811	0.52821487
0.58049160	4.74085617	0.53756458
0.94881850	7.74897003	0.86957526
1.32441401	10.81644630	1.20245624
1.22729850	10.02330685	1.09928775
1.47220528	12.02345276	1.22350693
0.96733487	7.90019226	0.80401331
1.09204853	8.91872501	1.02281415
0.66879946	5.46206331	0.56949633
0.53718799	4.38719702	0.54627037
1.15013075	9.39308071	1.14109576
1.30214620	10.63458538	1.10716212
1.03758025	8.47388363	0.93740594
1.17291272	9.57913971	1.04062033
0.96509391	7.88189030	0.81377017
1.01364636	8.27841663	0.86494315
0.62990427	5.14440775	0.56787032
0.67058408	5.47663832	0.54649711
0.73595721	6.01053858	0.63936996
3.56501746	29.11538124	4.11064053
3.53067350	28.83489609	4.08198261
0.73722720	6.02091074	0.71487379
0.93597281	7.64405966	0.84968477
0.85076344	6.94815731	0.70897710
1.16330528	9.50067616	0.99890602
1.19741106	9.77921677	1.04151440
1.12613058	9.19707203	0.85479212
0.95978534	7.83853579	0.85350925
0.74178648	6.05814600	0.63964450
0.58219481	4.75476599	0.52686369
0.66908067	5.46436024	0.56841570
0.53539646	4.37256527	0.50170159
0.88462162	7.22467613	0.86617059
0.67408735	5.50524950	0.57600605
0.72199368	5.89649868	0.67215931
0.97820997	7.98900890	0.89801449
1.39021111	11.35380840	1.25087988
1.07049668	8.74271107	1.02421904
1.18470252	9.67542648	1.08358812
1.25302029	10.23337555	1.00421536
1.16396427	9.50605869	1.07511282
0.81409907	6.64872074	0.74837774
0.60193956	4.91602087	0.55289578
0.91930801	7.50795841	0.83483499
1.33133686	10.87298489	1.24248731
0.98874652	8.07506084	0.80907500
0.86117822	7.03321457	0.70889515
0.77307492	6.31367779	0.71263921
0.66024512	5.39220047	0.62477016
0.58306301	4.76185656	0.62579572
0.65248090	5.32879019	0.61128843
1.35981822	11.10559082	1.26443541
1.26325905	10.31699562	1.10019088
1.32627165	10.83161736	1.28692698
3.64010358	29.72860718	4.15206957
3.69009829	30.13691330	4.16324759
0.62575614	5.11052990	0.56921190
0.78802162	6.43574715	0.73920441
0.63325197	5.17174816	0.57976902
0.66708392	5.44805241	0.58161545
0.52077413	4.25314522	0.47788191
0.83012754	6.77962446	0.76513964
1.03930426	8.48796368	0.98059613
0.84894884	6.93333769	0.75481236
0.99598080	8.13414288	0.75404173
0.84358883	6.88956261	0.73851818
0.77426475	6.32339478	0.69776416
0.79612732	6.50194597	0.70722175
0.78857207	6.44024229	0.66160512
0.93806720	7.66116428	0.76336342
0.84431994	6.89553356	0.79694915
0.80159712	6.54661751	0.62888819
0.66367692	5.42022753	0.56603175
1.00327694	8.19373035	0.95276898
3.68414164	30.08826447	4.25312138
3.66302109	29.91577339	4.17838144
0.81440079	6.65118456	0.73799092
1.12805212	9.21276474	1.05760038
1.09662592	8.95610809	0.86662900
0.80982751	6.61383486	0.74106479
0.66150910	5.40252304	0.67401022
0.68855882	5.62343740	0.59903425
0.59063220	4.82367373	0.55056351
1.09781539	8.96582222	0.98524070
0.61881036	5.05380392	0.55922490
0.52533299	4.29037762	0.47533166
0.49756595	4.06360483	0.47154015
0.94216162	7.69460344	0.85874557
1.35590374	11.07362175	1.23179662
0.99979144	8.16526413	0.82186240
1.06128216	8.66745663	0.96267766
0.77054018	6.29297638	0.71333945
0.86869669	7.09461737	0.72039211
0.79625344	6.50297594	0.70985651
0.81953299	6.69309902	0.70026815
0.55691415	4.54829979	0.50287521
0.55716729	4.55036688	0.56183207
0.64966685	5.30580807	0.61216521
1.51571417	12.37878799	1.44047940
1.19372988	9.74915314	1.07236004
0.96935570	7.91669655	0.84557498
0.94835705	7.74520111	0.90251487
1.37650263	11.24185181	1.26264572
1.02541387	8.37452126	0.98722529
0.80077958	6.53994083	0.78652930
0.98891014	8.07639694	0.80446923
0.92577362	7.56076288	0.84920865
0.94647187	7.72980499	0.78283548
0.88121575	7.19686031	0.81146252
0.58806771	4.80272961	0.49804497
0.76839012	6.27541685	0.74835408
1.34924066	11.01920414	1.14036810
1.12227845	9.16561127	1.05411315
0.88325286	7.21349716	0.83534771
0.74650884	6.09671354	0.62990832
0.63164377	5.15861416	0.58793837
1.01602530	8.29784584	0.95613384
1.67834055	13.70695305	1.51249540
