std DVARS	non-std DVARS	vx-wise std DVARS
1.59191096	12.61799622	1.49008381
0.97096294	7.69616365	0.78082430
0.77413535	6.13604498	0.74325138
0.59670186	4.72965002	0.56136090
0.82102495	6.50770712	0.81549180
1.11114013	8.80725288	0.99816269
1.53031898	12.12979889	1.43326223
0.98948270	7.84295702	0.88075697
1.06400478	8.43364334	0.96402407
0.85246092	6.75687838	0.78384280
0.62797302	4.97751522	0.57400405
0.56617779	4.48770666	0.51157302
0.83591807	6.62575436	0.80479151
0.95551080	7.57368469	0.90341711
1.41260719	11.19677734	1.42890728
0.83016557	6.58015823	0.75404984
0.60788494	4.81829071	0.53038990
0.73753035	5.84590197	0.69739437
0.69887072	5.53947353	0.62906021
0.87322450	6.92145729	0.85166276
0.87521678	6.93724871	0.74197656
0.55413043	4.39221525	0.51298541
1.06602252	8.44963646	0.95147586
0.75393820	5.97595596	0.62921083
0.69582361	5.51532078	0.65151131
0.58376843	4.62713575	0.54538459
0.59811831	4.74087763	0.55383772
0.97762907	7.74900150	0.89658815
1.36463010	10.81649590	1.24172688
1.26456487	10.02334690	1.12898850
1.51690876	12.02350521	1.26013136
0.99670780	7.90022564	0.82762617
1.12520850	8.91876316	1.05464256
0.68910730	5.46208525	0.58977717
0.55349988	4.38721752	0.56413978
1.18505347	9.39311409	1.17646670
1.34168637	10.63463593	1.14574659
1.06908643	8.47392178	0.96496141
1.20852733	9.57917500	1.07297313
0.99439931	7.88192749	0.83605790
1.04442537	8.27845001	0.88946533
0.64903110	5.14442873	0.58511406
0.69094670	5.47666502	0.56290269
0.75830483	6.01056719	0.65953350
3.69272208	29.26969910	4.22936201
3.65393066	28.96222496	4.19732189
0.75961298	6.02093601	0.73742735
0.96439338	7.64409113	0.87545019
0.87659657	6.94818544	0.72789276
1.19862819	9.50071144	1.02702272
1.23377013	9.77925777	1.07521451
1.16032505	9.19710827	0.87942845
0.98892915	7.83856964	0.88025922
0.76431048	6.05816984	0.65904081
0.59987283	4.75478411	0.54296595
0.68939745	5.46438503	0.58655244
0.55165368	4.37258387	0.51720029
0.91148281	7.22470474	0.89208925
0.69455564	5.50527048	0.59290302
0.74391723	5.89652634	0.69229889
1.00791323	7.98904371	0.92529470
1.43242419	11.35385323	1.29176939
1.10300219	8.74274921	1.05291116
1.22067559	9.67546558	1.11836815
1.29106784	10.23341751	1.03583825
1.19930780	9.50609779	1.11150563
0.83881927	6.64875031	0.77432775
0.62021780	4.91604519	0.57051027
0.94722265	7.50799036	0.86113322
1.37176287	10.87303257	1.28379655
1.01876938	8.07509232	0.83182907
0.88732779	7.03324461	0.72856325
0.79654878	6.31370115	0.73510128
0.68029350	5.39222431	0.64517349
0.60076767	4.76187706	0.64888340
0.67229337	5.32881260	0.62917072
1.40110958	11.10564327	1.30672348
1.30161834	10.31704426	1.13877571
1.36654365	10.83166313	1.32410896
3.75238633	29.74261665	4.26926947
3.80215526	30.13710213	4.27850914
0.64475739	5.11055374	0.58654583
0.81194931	6.43577051	0.76312739
0.65248048	5.17176962	0.59703195
0.68734008	5.44807768	0.59864187
0.53658742	4.25316381	0.49315989
0.85533488	6.77965832	0.78801328
1.07086265	8.48800087	1.01384783
0.87472695	6.93336630	0.77904135
1.02622318	8.13417435	0.77571154
0.86920452	6.88959360	0.75973463
0.79777473	6.32341814	0.71818650
0.82030219	6.50197792	0.72874314
0.81251675	6.44026804	0.68208957
0.96655154	7.66119719	0.78535128
0.86995739	6.89556122	0.82208669
0.82593739	6.54664469	0.64830446
0.68382937	5.42025089	0.58135575
1.03374124	8.19376469	0.98219717
1.21807063	9.65481853	1.13916421
1.20665896	9.56436539	1.06083000
0.83913016	6.65121460	0.76110762
1.16230512	9.21280289	1.09100449
1.12992430	8.95614243	0.89276832
0.83441776	6.61386251	0.76439172
0.68159556	5.40254498	0.69704270
0.70946687	5.62346172	0.61863726
0.60856676	4.82369518	0.56825918
1.13115025	8.96585941	1.01555872
0.63760042	5.05382538	0.57511491
0.54128468	4.29039574	0.49031568
0.51267469	4.06362391	0.48703390
0.97077030	7.69463634	0.88461190
1.39707577	11.07367039	1.27190340
1.03015006	8.16529942	0.84567964
1.09350812	8.66749573	0.98984778
0.79393780	6.29300547	0.73699558
0.89507508	7.09465218	0.74300534
0.82043153	6.50300312	0.73384112
0.84441799	6.69312763	0.72246259
0.57382476	4.54831886	0.52087766
0.57408565	4.55038691	0.58119941
0.66939372	5.30582905	0.63080347
1.56173837	12.37883854	1.48838067
1.22997642	9.74918747	1.10951936
0.99878967	7.91672707	0.86994761
0.97715408	7.74523640	0.93028903
1.41830027	11.24190235	1.30728543
1.05655015	8.37455559	1.02006865
0.82509542	6.53997087	0.81215292
1.01893818	8.07643032	0.82888901
0.95388418	7.56079197	0.87441248
0.97521174	7.72984076	0.80722004
0.90797448	7.19689703	0.83537763
0.60592431	4.80275011	0.51387209
0.79172266	6.27544737	0.77213228
1.39021099	11.01925755	1.17386317
1.15635669	9.16565418	1.08257031
0.91007280	7.21352863	0.86358404
0.76917636	6.09673834	0.64886373
0.65082365	5.15863705	0.60526359
1.04687691	8.29788208	0.98697871
1.72930324	13.70701218	1.56509459
