std DVARS	non-std DVARS	vx-wise std DVARS
1.65821862	12.61805820	1.56105578
1.01140726	7.69620752	0.81287974
0.80638093	6.13607931	0.77518117
0.62155634	4.72967434	0.58621538
0.85522324	6.50774050	0.85239518
1.15742266	8.80729866	1.03981805
1.59406054	12.12985325	1.50233495
1.03069782	7.84299755	0.91707039
1.10832298	8.43367863	1.00770652
0.88796759	6.75690556	0.81950730
0.65412992	4.97754002	0.59912747
0.58976090	4.48773003	0.53557467
0.87073642	6.62578630	0.83955157
0.99531084	7.57372379	0.94131160
1.47144735	11.19683933	1.50001967
0.86474437	6.58019066	0.78666019
0.63320482	4.81831217	0.55326110
0.76825047	5.84592915	0.72862130
0.72798079	5.53950119	0.65784532
0.90959746	6.92149591	0.89098930
0.91167265	6.93728685	0.77572393
0.57721168	4.39223766	0.53718758
1.11042583	8.44968033	0.99324632
0.78534222	5.97598743	0.65442640
0.72480667	5.51534796	0.68048877
0.60808384	4.62715673	0.56970292
0.62303150	4.74089909	0.57878464
1.01835001	7.74903774	0.93816143
1.42147112	10.81655025	1.29784942
1.31723702	10.02339077	1.17451751
1.58009255	12.02356529	1.31348968
1.03822339	7.90026236	0.86084229
1.17207670	8.91880703	1.10320663
0.71781063	5.46211195	0.61817503
0.57655501	4.38724089	0.59028983
1.23441446	9.39315987	1.23308158
1.39757085	10.63468361	1.20256901
1.11361706	8.47396374	1.00783277
1.25886583	9.57922077	1.12161636
1.03581893	7.88196659	0.86911589
1.08792865	8.27849007	0.92546469
0.67606479	5.14445114	0.61107552
0.71972686	5.47669363	0.58608550
0.78989059	6.01059771	0.68814886
3.83076954	29.14987946	4.37699795
3.79286575	28.86145401	4.34737682
0.79125285	6.02096367	0.77025998
1.00456262	7.64412451	0.91348273
0.91310996	6.94822407	0.75575423
1.24855530	9.50076389	1.06867623
1.28516066	9.77930832	1.12105775
1.20865667	9.19715881	0.91334873
1.03012109	7.83860874	0.91739535
0.79614598	6.05819750	0.68728900
0.62485927	4.75480747	0.56661886
0.71811253	5.46440935	0.61342490
0.57463205	4.37260818	0.54037589
0.94944900	7.22474241	0.93040228
0.72348583	5.50529718	0.61621571
0.77490330	5.89655352	0.72167808
1.04989636	7.98908710	0.96768123
1.49208844	11.35390568	1.35124207
1.14894509	8.74278927	1.09810996
1.27151954	9.67550755	1.16883111
1.34484458	10.23346806	1.07989538
1.24926174	9.50613880	1.16182470
0.87375826	6.64878082	0.81310928
0.64605176	4.91606998	0.59602278
0.98667699	7.50802517	0.90034127
1.42890131	10.87308979	1.34448290
1.06120455	8.07513618	0.86330932
0.92428720	7.03327608	0.75715840
0.82972777	6.31373501	0.76665848
0.70862979	5.39225149	0.67481953
0.62579149	4.76190138	0.67889452
0.70029670	5.32884169	0.65652061
1.45946896	11.10569096	1.37153697
1.35583532	10.31710052	1.19280529
1.42346513	10.83172321	1.38191807
1.20344937	9.15753460	1.08125758
1.32140207	10.05508423	1.08419299
0.67161304	5.11057615	0.61229914
0.84576964	6.43580437	0.79748029
0.67965835	5.17179585	0.62212414
0.71596998	5.44810581	0.62436396
0.55893803	4.25318623	0.51567680
0.89096200	6.77969122	0.82372189
1.11546731	8.48804283	1.06406498
0.91116214	6.93340206	0.81553668
1.06896865	8.13421631	0.80663657
0.90540987	6.88963079	0.79090393
0.83100438	6.32344913	0.75024325
0.85446978	6.50200701	0.75895452
0.84636092	6.44030333	0.71132505
1.00681126	7.66123486	0.81707174
0.90619344	6.89559317	0.85900176
0.86033970	6.54667377	0.67387587
0.71231276	5.42027664	0.60387158
1.07679951	8.19380379	1.02657247
1.26880682	9.65486526	1.19445539
1.25691950	9.56441021	1.11140943
0.87408155	6.65124083	0.79331023
1.21071875	9.21284962	1.13945806
1.17698860	8.95618343	0.92871338
0.86917412	6.61389828	0.79875815
0.70998603	5.40257168	0.73078364
0.73901808	5.62348843	0.64533424
0.63391501	4.82371616	0.59424788
1.17826605	8.96590424	1.05957377
0.66415840	5.05385065	0.59921890
0.56383067	4.29041624	0.51207256
0.53402895	4.06364298	0.50966686
1.01120532	7.69467163	0.92455906
1.45526683	11.07371521	1.33274233
1.07305944	8.16534424	0.87842637
1.13905680	8.66754532	1.03153729
0.82700789	6.29303837	0.77057046
0.93235761	7.09468699	0.77381784
0.85460490	6.50303507	0.76762176
0.87959075	6.69316292	0.75544274
0.59772640	4.54834270	0.54427409
0.59799784	4.55040789	0.60944605
0.69727582	5.30585432	0.65877950
1.62678945	12.37890053	1.56224406
1.28120768	9.74922848	1.16102123
1.04039228	7.91676712	0.90542859
1.01785529	7.74527359	0.97383392
1.47737610	11.24195385	1.37013733
1.10055876	8.37459755	1.06970620
0.85946292	6.54000187	0.85270995
1.06137979	8.07646942	0.86468405
0.99361664	7.56083202	0.91440153
1.01583207	7.72987843	0.84166926
0.94579452	7.19693422	0.87112039
0.63116282	4.80277395	0.53618711
0.82469970	6.27547455	0.80952692
1.44811749	11.01931286	1.22228014
1.20452261	9.16570091	1.12728465
0.94798046	7.21356773	0.90397084
0.80121446	6.09676552	0.67534518
0.67793190	5.15865898	0.63213849
1.09048176	8.29791832	1.03468370
1.80133474	13.70708656	1.64195073
