std DVARS	non-std DVARS	vx-wise std DVARS
1.54210603	12.61889267	1.44316089
0.94493663	7.73231792	0.76148385
0.75371820	6.16759729	0.72258943
0.58237851	4.76554251	0.54705387
0.79807025	6.53052568	0.78968590
1.08025467	8.83961105	0.96956033
1.48555899	12.15617371	1.38766217
0.96322221	7.88194704	0.85723072
1.03276277	8.45098972	0.93377072
0.82876581	6.78170395	0.75997770
0.61381102	5.02275133	0.55733949
0.55195153	4.51656199	0.49569589
0.81307822	6.65333414	0.78230041
0.92890865	7.60116243	0.87743211
1.36842811	11.19770432	1.38058197
0.80569649	6.59293032	0.73254091
0.59230644	4.84678173	0.51585054
0.71773779	5.87317371	0.67866796
0.68112278	5.57355642	0.61150879
0.84759742	6.93580103	0.82479125
0.85048890	6.95946217	0.71930331
0.53962398	4.41568661	0.49778828
1.03395045	8.46070862	0.92346054
0.73464930	6.01155853	0.61345917
0.67683816	5.53849602	0.63174331
0.56767005	4.64518499	0.52851474
0.57982761	4.74466896	0.53743196
0.94977438	7.77190447	0.87011087
1.32319283	10.82754898	1.20190680
1.23325312	10.09158134	1.10098612
1.47508848	12.07049465	1.22567713
0.96920705	7.93092012	0.80509681
1.09096193	8.92722797	1.02258611
0.67134088	5.49351263	0.56980133
0.53905994	4.41107130	0.54711741
1.15002513	9.41053581	1.14082003
1.30263114	10.65929508	1.10684180
1.03819668	8.49545479	0.93763131
1.17259133	9.59519291	1.04039299
0.97016120	7.93872786	0.81563455
1.01673102	8.31980419	0.86643684
0.63227177	5.17381382	0.56889653
0.67262024	5.50398111	0.54713327
0.73852646	6.04328489	0.64037472
3.56091166	29.13856888	4.10808754
3.52669668	28.85859108	4.07944584
0.73820490	6.04065371	0.71517456
0.93829244	7.67794895	0.85109621
0.85518354	6.99787760	0.71120161
1.16456568	9.52951908	1.00012279
1.19623661	9.78867912	1.04103029
1.12936974	9.24151516	0.85618681
0.95996076	7.85525894	0.85333824
0.74284440	6.07861805	0.63994581
0.58342272	4.77408743	0.52729255
0.66896003	5.47403002	0.56870514
0.53672898	4.39199734	0.50201935
0.88618118	7.25152826	0.86613780
0.67778391	5.54623508	0.57747549
0.72304767	5.91662359	0.67241967
0.98044193	8.02285385	0.89904839
1.38955176	11.37055683	1.25091922
1.07148254	8.76782990	1.02539170
1.18561709	9.70178127	1.08354783
1.25686932	10.28483009	1.00570071
1.16399753	9.52486992	1.07479787
0.81490088	6.66824865	0.74836093
0.60379982	4.94083071	0.55325139
0.91926426	7.52224350	0.83474958
1.32932377	10.87771797	1.24137723
0.99211121	8.11834240	0.81017989
0.86482787	7.07679605	0.71078426
0.77431250	6.33611822	0.71332592
0.66050732	5.40486240	0.62495291
0.58326530	4.77279902	0.62546968
0.65208435	5.33593798	0.61117709
1.35939503	11.12378788	1.26401460
1.26320362	10.33666325	1.10033131
1.32576680	10.84861183	1.28692079
3.63797092	29.76913643	4.15034485
3.68631172	30.16470337	4.16099930
0.62709922	5.13148737	0.56976509
0.78749168	6.44396210	0.73915172
0.63434148	5.19075012	0.58024561
0.66848022	5.47010374	0.58216107
0.52129787	4.26572609	0.47802979
0.83008224	6.79247618	0.76491684
1.03954995	8.50652885	0.98057812
0.85058975	6.96028709	0.75450909
0.99855322	8.17105675	0.75524873
0.84852684	6.94340658	0.74056727
0.78077966	6.38903856	0.69980007
0.80113411	6.55559683	0.70854235
0.79305714	6.48950386	0.66216278
0.94141114	7.70346928	0.76435190
0.84505200	6.91497231	0.79689640
0.80441254	6.58242369	0.62981457
0.66674149	5.45587587	0.56712002
1.00313592	8.20855618	0.95242316
3.67951655	30.10910034	4.24970531
3.65727901	29.92713165	4.17481661
0.81669843	6.68295813	0.73891062
1.12707937	9.22277260	1.05701506
1.10141563	9.01276875	0.86915410
0.81274825	6.65063429	0.74242657
0.66263813	5.42229843	0.67474943
0.69134289	5.65718651	0.59963512
0.59289902	4.85163069	0.55123872
1.09676003	8.97467327	0.98438013
0.62036490	5.07638121	0.55967277
0.52544832	4.29968882	0.47525412
0.49778804	4.07334757	0.47170624
0.94120687	7.70179749	0.85842353
1.35670686	11.10179043	1.23245990
1.00589991	8.23117352	0.82461518
1.06221473	8.69199276	0.96383947
0.77196729	6.31692791	0.71428156
0.87095201	7.12690926	0.72136748
0.79643244	6.51712370	0.70967096
0.81931609	6.70437813	0.70039773
0.55782461	4.56462049	0.50340849
0.55710590	4.55873966	0.56184393
0.64996988	5.31863546	0.61246908
1.51405430	12.38934803	1.43957567
1.19316244	9.76352406	1.07219303
0.97327167	7.96418047	0.84757656
0.95250219	7.79422617	0.90479654
1.37573290	11.25747871	1.26185060
1.02406120	8.37978554	0.98653138
0.80005145	6.54673767	0.78612000
0.98994088	8.10058308	0.80480069
0.92612112	7.57835245	0.84920144
0.94723040	7.75108767	0.78316110
0.88047403	7.20482731	0.81110620
0.58920014	4.82136345	0.49812150
0.76935232	6.29552984	0.74844050
1.34762764	11.02749634	1.13997960
1.12163258	9.17820263	1.05409241
0.88411462	7.23461771	0.83567816
0.74947381	6.13286591	0.63051337
0.63294911	5.17935658	0.58822536
1.01562643	8.31076527	0.95588601
1.67850780	13.73505402	1.51221180
