std DVARS	non-std DVARS	vx-wise std DVARS
1.74299264	12.61808205	1.64909542
1.06311417	7.69622374	0.85424137
0.84760612	6.13609219	0.81821054
0.65333283	4.72968578	0.61943203
0.89894527	6.50775290	0.90550977
1.21659482	8.80731964	1.09400177
1.67555630	12.12988853	1.59162068
1.08339059	7.84301138	0.96606427
1.16498518	8.43370056	1.06163847
0.93336445	6.75692415	0.86779058
0.68757170	4.97755194	0.63489717
0.61991191	4.48774099	0.56959635
0.91525233	6.62580490	0.88591063
1.04619527	7.57374239	0.99030685
1.54667437	11.19687080	1.59224689
0.90895361	6.58020639	0.82929283
0.66557658	4.81832218	0.58296800
0.80752665	5.84594393	0.77028728
0.76519775	5.53951168	0.69623739
0.95609963	6.92151165	0.94217145
0.95828044	6.93729925	0.82145196
0.60672134	4.39225006	0.56981474
1.16719425	8.44969273	1.04591727
0.82549202	5.97600126	0.68677562
0.76186204	5.51536322	0.71956652
0.63917178	4.62716913	0.60343659
0.65488338	4.74091053	0.61037338
1.07041264	7.74906015	0.99039072
1.49414241	10.81657505	1.37011814
1.38457966	10.02341557	1.23278272
1.66087317	12.02359295	1.38013268
1.09130156	7.90028143	0.90463275
1.23199809	8.91882896	1.16562057
0.75450790	5.46212435	0.65938479
0.60603088	4.38725185	0.62645006
1.29752290	9.39318371	1.30751598
1.46902013	10.63470745	1.27705467
1.17054987	8.47398567	1.06230140
1.32322454	9.57924652	1.18284571
1.08877444	7.88198709	0.91235805
1.14354849	8.27851391	0.97189420
0.71062809	5.14446449	0.64522713
0.75652212	5.47670603	0.61713296
0.83027250	6.01060867	0.72602272
0.95136529	6.88723803	0.87147987
0.79774714	5.77514696	0.70888329
0.83170503	6.02097893	0.81326026
1.05592000	7.64414310	0.96394306
0.95979166	6.94823933	0.79244965
1.31238663	9.50078678	1.11692572
1.35086334	9.77933216	1.18076622
1.27044809	9.19718075	0.95858949
1.08278441	7.83862352	0.96677023
0.83684856	6.05821466	0.72513098
0.65680486	4.75482082	0.59812951
0.75482559	5.46442413	0.64704025
0.60400963	4.37261915	0.57230496
0.99798781	7.22475338	0.98165238
0.76047373	5.50531292	0.64703387
0.81451976	5.89656925	0.75911158
1.10357070	7.98910189	1.02250242
1.56836963	11.35393047	1.42921209
1.20768380	8.74281025	1.15492868
1.33652472	9.67553043	1.23244560
1.41359806	10.23348904	1.13666391
1.31312943	9.50616455	1.22714555
0.91842854	6.64879847	0.86609912
0.67908078	4.91608334	0.63121426
1.03712070	7.50804853	0.95091081
1.50195265	10.87311649	1.42527688
1.11545765	8.07515526	0.90529376
0.97154087	7.03329563	0.79305959
0.87214684	6.31375027	0.80886132
0.74485826	5.39226770	0.71576774
0.65778488	4.76191521	0.72519207
0.73609859	5.32885361	0.69072521
1.53408301	11.10571861	1.45535588
1.42515111	10.31712532	1.26574409
1.49623835	10.83174896	1.45282996
1.26497459	9.15755653	1.14150572
1.38895750	10.05510807	1.14315498
0.70594841	5.11058664	0.64705145
0.88900894	6.43582058	0.84197563
0.71440500	5.17180681	0.65613866
0.75257283	5.44811583	0.65868258
0.58751315	4.25319576	0.54614794
0.93651205	6.77971077	0.86877394
1.17249453	8.48806381	1.13168216
0.95774460	6.93341970	0.86345261
1.12361896	8.13423729	0.84493732
0.95169765	6.88964415	0.83194566
0.87348890	6.32346582	0.79212713
0.89815396	6.50202417	0.80168116
0.88962972	6.44031429	0.75098699
1.05828333	7.66125154	0.85911059
0.95252168	6.89560938	0.90762204
0.90432376	6.54668951	0.70910960
0.74872911	5.42028999	0.63489622
1.13185036	8.19382763	1.08437335
1.33367348	9.65488911	1.26749825
1.32117832	9.56443310	1.17863226
0.91876829	6.65125799	0.83594322
1.27261591	9.21287441	1.20030236
1.23716128	8.95620632	0.97619843
0.91360956	6.61391211	0.84379834
0.74628347	5.40258503	0.77966172
0.77679968	5.62350178	0.68377799
0.66632336	4.82372808	0.63043702
1.23850334	8.96592236	1.11526275
0.69811273	5.05386162	0.63143069
0.59265620	4.29042816	0.54166490
0.56133068	4.06365252	0.53961813
1.06290221	7.69468975	0.97421080
1.52966666	11.07374668	1.41040301
1.12791800	8.16535950	0.92255288
1.19728947	8.66756153	1.08068347
0.86928779	6.29305267	0.81442642
0.98002338	7.09470320	0.81438124
0.89829570	6.50305033	0.81349522
0.92455900	6.69317865	0.79908520
0.62828410	4.54834986	0.57701427
0.62856990	4.55041885	0.64801610
0.73292321	5.30586576	0.69648081
1.70995700	12.37892628	1.65851080
1.34670842	9.74925327	1.23080504
1.09358132	7.91678572	0.95179266
1.06989169	7.74528837	1.03049242
1.55290592	11.24198341	1.45297360
1.15682435	8.37462234	1.13456595
0.90340197	6.54001617	0.90792620
1.11564195	8.07648945	0.91069907
1.04441464	7.56085205	0.96509027
1.06776547	7.72989607	0.88575768
0.99414700	7.19694853	0.91409010
0.66343021	4.80278397	0.56625801
0.86686200	6.27549171	0.85870171
1.52215195	11.01934528	1.28145134
1.26610231	9.16571999	1.18301058
0.99644500	7.21358442	0.95755291
0.84217650	6.09678555	0.71156693
0.71259075	5.15867281	0.66773653
1.14623165	8.29793835	1.09666431
1.89342570	13.70711517	1.74533725
