std DVARS	non-std DVARS	vx-wise std DVARS
1.74299383	12.61809063	1.64909518
1.06311357	7.69621944	0.85424143
0.84760672	6.13609648	0.81821084
0.65333295	4.72968626	0.61943227
0.89894545	6.50775385	0.90550953
1.21659422	8.80731487	1.09400177
1.67555606	12.12988663	1.59162092
1.08339083	7.84301281	0.96606481
1.16498530	8.43370152	1.06163812
0.93336433	6.75692320	0.86779064
0.68757141	4.97754955	0.63489717
0.61991173	4.48773956	0.56959546
0.91525221	6.62580395	0.88591021
1.04619575	7.57374573	0.99030775
1.54667437	11.19687080	1.59224701
0.90895373	6.58020735	0.82929289
0.66557646	4.81832123	0.58296818
0.80752671	5.84594440	0.77028710
0.76519817	5.53951454	0.69623685
0.95609933	6.92150927	0.94217181
0.95828068	6.93730068	0.82145190
0.60672134	4.39225006	0.56981480
1.16719449	8.44969463	1.04591644
0.82549226	5.97600269	0.68677628
0.76186180	5.51536179	0.71956611
0.63917196	4.62717056	0.60343713
0.65488273	4.74090576	0.61037308
1.07041264	7.74906015	0.99039078
1.49414253	10.81657600	1.37011957
1.38457990	10.02341747	1.23278213
1.66087353	12.02359581	1.38013208
1.09130180	7.90028286	0.90463293
1.23199725	8.91882229	1.16562104
0.75450790	5.46212435	0.65938485
0.60603052	4.38724899	0.62645048
1.29752302	9.39318466	1.30751622
1.46902061	10.63471031	1.27705479
1.17054975	8.47398472	1.06230140
1.32322466	9.57924747	1.18284595
1.08877444	7.88198662	0.91235924
1.14354873	8.27851582	0.97189510
0.71062839	5.14446640	0.64522719
0.75652212	5.47670603	0.61713308
0.83027220	6.01060629	0.72602302
0.95136523	6.88723755	0.87148041
0.79774702	5.77514601	0.70888299
0.83170539	6.02098179	0.81326050
1.05592072	7.64414787	0.96394312
0.95979172	6.94823980	0.79245049
1.31238675	9.50078773	1.11692643
1.35086346	9.77933311	1.18076587
1.27044868	9.19718456	0.95858997
1.08278430	7.83862257	0.96677053
0.83684874	6.05821609	0.72513092
0.65680480	4.75482035	0.59812951
0.75482607	5.46442747	0.64704043
0.60400945	4.37261772	0.57230538
0.99798781	7.22475338	0.98165190
0.76047385	5.50531387	0.64703363
0.81451952	5.89656782	0.75911200
1.10357106	7.98910475	1.02250290
1.56836927	11.35392761	1.42921162
1.20768440	8.74281406	1.15492785
1.33652520	9.67553425	1.23244464
1.41359949	10.23349953	1.13666356
1.31312943	9.50616455	1.22714543
0.91842830	6.64879656	0.86609930
0.67908084	4.91608381	0.63121456
1.03712094	7.50805092	0.95091176
1.50195205	10.87311172	1.42527723
1.11545765	8.07515526	0.90529323
0.97154051	7.03329277	0.79305953
0.87214673	6.31374931	0.80886114
0.74485815	5.39226675	0.71576792
0.65778488	4.76191521	0.72519171
0.73609895	5.32885599	0.69072527
1.53408325	11.10571957	1.45535588
1.42515099	10.31712437	1.26574326
1.49623823	10.83174801	1.45283031
1.26497531	9.15756130	1.14150631
1.38895810	10.05511284	1.14315462
0.70594859	5.11058807	0.64705163
0.88900882	6.43581963	0.84197569
0.71440542	5.17180967	0.65613818
0.75257272	5.44811487	0.65868258
0.58751333	4.25319719	0.54614830
0.93651175	6.77970839	0.86877394
1.17249405	8.48806000	1.13168180
0.95774496	6.93342257	0.86345232
1.12361872	8.13423538	0.84493703
0.95169777	6.88964510	0.83194584
0.87348837	6.32346201	0.79212618
0.89815360	6.50202179	0.80168080
0.88963008	6.44031715	0.75098777
1.05828393	7.66125631	0.85911143
0.95252150	6.89560843	0.90762269
0.90432400	6.54669094	0.70910990
0.74872911	5.42028999	0.63489681
1.13185084	8.19383049	1.08437312
1.33367324	9.65488815	1.26749778
1.32117820	9.56443214	1.17863178
0.91876823	6.65125751	0.83594358
1.27261579	9.21287346	1.20030248
1.23716104	8.95620537	0.97619903
0.91360968	6.61391306	0.84379894
0.74628329	5.40258360	0.77966136
0.77679956	5.62350082	0.68377751
0.66632318	4.82372713	0.63043666
1.23850429	8.96592903	1.11526227
0.69811285	5.05386257	0.63143003
0.59265625	4.29042864	0.54166448
0.56133080	4.06365347	0.53961790
1.06290245	7.69469118	0.97421068
1.52966738	11.07375240	1.41040313
1.12791753	8.16535664	0.92255300
1.19728971	8.66756344	1.08068287
0.86928809	6.29305506	0.81442654
0.98002321	7.09470177	0.81438154
0.89829588	6.50305176	0.81349528
0.92455864	6.69317627	0.79908514
0.62828457	4.54835320	0.57701433
0.62856996	4.55041933	0.64801639
0.73292321	5.30586576	0.69648033
1.70995760	12.37893105	1.65851033
1.34670877	9.74925613	1.23080397
1.09358144	7.91678619	0.95179272
1.06989229	7.74529314	1.03049266
1.55290580	11.24198246	1.45297289
1.15682471	8.37462425	1.13456571
0.90340197	6.54001617	0.90792620
1.11564183	8.07648849	0.91069841
1.04441524	7.56085634	0.96509027
1.06776536	7.72989511	0.88575792
0.99414659	7.19694567	0.91408938
0.66343075	4.80278778	0.56625867
0.86686194	6.27549124	0.85870236
1.52215135	11.01934147	1.28145087
1.26610231	9.16571999	1.18301058
0.99644524	7.21358633	0.95755339
0.84217614	6.09678268	0.71156663
0.71259081	5.15867329	0.66773695
1.14623129	8.29793549	1.09666395
1.89342582	13.70711613	1.74533749
