std DVARS	non-std DVARS	vx-wise std DVARS
1.63835871	12.61812401	1.54042983
0.99929357	7.69624519	0.80365831
0.79672343	6.13611364	0.76717550
0.61411262	4.72970247	0.58010995
0.84498078	6.50777674	0.84340543
1.14356041	8.80734348	1.02651703
1.57497036	12.12992668	1.48355806
1.01835299	7.84303522	0.90848446
1.09504938	8.43372631	0.99365264
0.87733328	6.75694561	0.81227893
0.64629561	4.97756577	0.59461224
0.58269733	4.48775196	0.52924800
0.86030763	6.62581921	0.83271676
0.98339099	7.57376862	0.93288422
1.45382512	11.19690418	1.47887206
0.85438740	6.58022356	0.77503878
0.62562096	4.81833601	0.54717201
0.75904977	5.84596300	0.72044390
0.71926183	5.53952885	0.65095162
0.89870381	6.92153454	0.87974948
0.90075392	6.93732357	0.76735467
0.57029879	4.39226198	0.53034079
1.09712648	8.44972324	0.98122698
0.77593714	5.97602415	0.64732784
0.71612614	5.51537848	0.67405450
0.60080194	4.62718773	0.56335109
0.61556941	4.74092245	0.57075596
1.00615442	7.74908495	0.92585361
1.40444684	10.81660843	1.28357422
1.30146170	10.02344894	1.16185188
1.56116879	12.02363205	1.30002177
1.02578950	7.90030813	0.85365450
1.15803909	8.91885376	1.09084022
0.70921338	5.46213865	0.61178976
0.56964993	4.38726473	0.58351570
1.21963108	9.39321518	1.21936822
1.38083255	10.63473892	1.18599558
1.10027969	8.47400856	0.99389052
1.24378884	9.57927132	1.10915589
1.02341366	7.88201094	0.86063027
1.07489932	8.27853680	0.91706568
0.66796798	5.14447975	0.60491389
0.71110702	5.47672272	0.57953441
0.78043038	6.01062965	0.67921621
2.25563335	17.37217903	2.50771856
2.19968343	16.94127083	2.46360993
0.78177679	6.02099943	0.76015186
0.99253148	7.64416552	0.90451443
0.90217412	6.94826174	0.74878699
1.23360252	9.50081921	1.05381560
1.26976871	9.77935982	1.11142957
1.19418144	9.19721031	0.90576112
1.01778388	7.83865213	0.90809244
0.78661126	6.05823278	0.68021274
0.61737573	4.75483418	0.56068873
0.70951271	5.46444416	0.60573542
0.56774992	4.37263155	0.53414971
0.93807673	7.22477245	0.91920924
0.71482146	5.50533056	0.61019170
0.76562291	5.89658737	0.71124274
1.03732216	7.98912954	0.95704401
1.47421777	11.35396194	1.33494282
1.13518560	8.74284267	1.08100355
1.25629067	9.67555618	1.15781939
1.32873797	10.23352242	1.07036090
1.23430014	9.50619221	1.14779162
0.86329365	6.64881659	0.80428112
0.63831437	4.91609669	0.59013689
0.97486031	7.50806808	0.88844806
1.41178858	10.87315178	1.32950866
1.04849470	8.07517719	0.85437000
0.91321778	7.03331661	0.75057846
0.81979078	6.31377125	0.75832129
0.70014298	5.39228153	0.66628361
0.61829686	4.76192808	0.67373520
0.69190967	5.32887077	0.64732981
1.44198990	11.10575294	1.35548782
1.33959663	10.31715202	1.17965555
1.40641677	10.83178043	1.35964477
2.42719197	18.69347000	2.60775113
2.58110404	19.87885284	2.71192002
0.66356921	5.11060143	0.60544842
0.83564031	6.43583918	0.78745055
0.67151868	5.17182589	0.61477715
0.70739484	5.44813299	0.61726505
0.55224437	4.25321245	0.50926483
0.88029158	6.77972937	0.81088257
1.10210824	8.48809147	1.05228412
0.90025061	6.93344736	0.80666244
1.05616653	8.13426304	0.79884022
0.89456564	6.88966370	0.78374326
0.82105154	6.32348108	0.74262226
0.84423679	6.50204659	0.75354230
0.83622438	6.44033766	0.70336586
0.99475330	7.66127729	0.80878228
0.89533997	6.89562702	0.84918225
0.85003626	6.54671240	0.66793460
0.70378172	5.42030573	0.59848917
1.06390464	8.19385910	1.01234341
2.36447001	18.21040535	2.55834889
2.59968185	20.02193260	2.84677291
0.86361319	6.65127754	0.78347754
1.19621897	9.21290302	1.12521231
1.16289198	8.95622921	0.92113620
0.85876429	6.61393261	0.78959167
0.70148301	5.40260172	0.72310525
0.73016715	5.62351799	0.64009619
0.62632316	4.82374430	0.58746588
1.16415405	8.96594906	1.04821682
0.65620410	5.05387783	0.59274048
0.55707854	4.29044390	0.50638437
0.52763307	4.06366396	0.50416929
0.99909478	7.69471407	0.91121310
1.43783855	11.07378101	1.31808054
1.06020761	8.16538620	0.87003905
1.12541485	8.66759205	1.01659214
0.81710345	6.29307413	0.76344603
0.92119092	7.09472322	0.76638472
0.84436965	6.50306988	0.75906801
0.86905599	6.69319630	0.74791926
0.59056789	4.54836845	0.53827119
0.59083599	4.55043316	0.60124683
0.68892461	5.30588102	0.65080613
1.60730672	12.37897110	1.54070032
1.26586330	9.74928188	1.14775360
1.02793193	7.91680908	0.89318991
1.00566459	7.74531269	0.96336448
1.45968258	11.24201679	1.35539091
1.08737779	8.37464237	1.05748963
0.84916943	6.54003620	0.84270179
1.04866827	8.07651329	0.85579890
0.98171723	7.56087780	0.90492660
1.00366628	7.72992277	0.83160269
0.93446684	7.19696999	0.85796547
0.62360370	4.80279970	0.52953142
0.81482327	6.27551270	0.79943562
1.43077493	11.01937866	1.20674706
1.19009662	9.16575050	1.10895014
0.93662697	7.21360683	0.89656568
0.79161906	6.09680128	0.67008501
0.66981357	5.15869379	0.62302220
1.07742131	8.29796028	1.02238131
1.77976060	13.70715714	1.62300205
