std DVARS	non-std DVARS	vx-wise std DVARS
1.66621196	12.61787510	1.56591535
1.01628208	7.69609213	0.81625122
0.81026727	6.13598490	0.77946919
0.62455225	4.72960377	0.58974159
0.85934556	6.50764418	0.85871172
1.16299975	8.80715370	1.04317689
1.60174370	12.12967014	1.51027143
1.03566515	7.84287548	0.92279452
1.11366642	8.43356323	1.01072526
0.89224821	6.75680923	0.82532507
0.65728319	4.97746849	0.60484725
0.59260380	4.48766470	0.53860372
0.87493312	6.62568569	0.84528595
1.00010788	7.57360792	0.94715375
1.47854102	11.19668198	1.50724399
0.86891258	6.58009338	0.78817266
0.63625741	4.81824446	0.55586016
0.77195436	5.84584904	0.73249328
0.73149014	5.53942204	0.66207308
0.91398168	6.92139244	0.89545900
0.91606575	6.93717480	0.78125006
0.57999372	4.39217138	0.53964925
1.11577857	8.44955826	0.99678642
0.78912741	5.97589684	0.65648872
0.72830153	5.51527548	0.68519270
0.61101562	4.62709379	0.57340926
0.62603474	4.74083042	0.58014804
1.02325892	7.74892569	0.94164920
1.42832279	10.81639004	1.30564570
1.32358718	10.02324963	1.17830896
1.58770955	12.02339268	1.31816697
1.04322863	7.90015221	0.86684334
1.17772615	8.91867447	1.10914087
0.72127080	5.46203327	0.62361109
0.57933319	4.38716936	0.59448767
1.24036515	9.39302635	1.24060094
1.40430737	10.63452625	1.20816100
1.11898410	8.47383308	1.00991130
1.26493406	9.57908154	1.12659860
1.04081106	7.88184452	0.87301302
1.09317327	8.27837276	0.93020856
0.67932403	5.14437914	0.61491233
0.72319561	5.47660923	0.58907938
0.79369712	6.01050234	0.69080019
2.29398155	17.37184334	2.58378053
2.23707700	16.94091606	2.54704618
0.79506719	6.02087784	0.77371907
1.00940549	7.64401722	0.91951632
0.91751069	6.94811678	0.75962281
1.25457346	9.50062275	1.06782401
1.29135537	9.77916431	1.12918150
1.21448278	9.19702435	0.91953117
1.03508687	7.83849669	0.92339963
0.79998434	6.05811405	0.69218522
0.62787151	4.75473976	0.56968981
0.72157425	5.46433115	0.61563772
0.57740146	4.37254047	0.54330075
0.95402610	7.22464037	0.93428981
0.72697377	5.50522041	0.61934888
0.77863854	5.89646721	0.72252601
1.05495691	7.98896790	0.97320843
1.49928093	11.35374165	1.35841393
1.15448380	8.74266434	1.09839439
1.27764964	9.67537403	1.17588127
1.35132647	10.23331261	1.08668876
1.25528347	9.50599957	1.16859961
0.87796974	6.64868164	0.81899524
0.64916557	4.91599512	0.60038292
0.99143362	7.50791979	0.90380645
1.43578839	10.87292576	1.35340226
1.06631970	8.07501602	0.86692917
0.92874229	7.03317118	0.76073343
0.83372730	6.31364250	0.77143461
0.71204597	5.39217520	0.67825860
0.62880731	4.76182652	0.68787473
0.70367247	5.32876444	0.65757167
1.46650481	11.10553455	1.37934434
1.36236978	10.31694126	1.20125556
1.43032634	10.83156300	1.38086569
2.46845245	18.69307518	2.69794345
2.62498450	19.87845993	2.77694297
0.67485040	5.11050129	0.61560076
0.84984696	6.43571329	0.80017561
0.68293422	5.17171812	0.62488770
0.71942085	5.44802380	0.62736231
0.56163228	4.25312376	0.51835853
0.89525664	6.77959156	0.82459170
1.12084413	8.48791885	1.07133603
0.91555446	6.93330288	0.82062697
1.07412171	8.13409901	0.81007642
0.90977401	6.88952827	0.79549068
0.83500993	6.32335567	0.75412798
0.85858864	6.50191259	0.76556528
0.85044044	6.44020796	0.71568096
1.01166439	7.66112280	0.82144082
0.91056222	6.89549732	0.86388022
0.86448759	6.54658413	0.67888880
0.71574628	5.42019701	0.60751945
1.08198988	8.19368362	1.03061569
1.27492321	9.65472698	1.20152462
1.26297700	9.56426144	1.12031507
0.87829584	6.65115070	0.79701948
1.21655500	9.21271706	1.14290214
1.18266296	8.95605946	0.93434006
0.87336415	6.61380434	0.80347735
0.71340805	5.40249014	0.73684955
0.74258047	5.62340689	0.65207571
0.63697129	4.82365036	0.59861052
1.18394613	8.96577644	1.06504929
0.66735971	5.05377579	0.60238385
0.56654817	4.29035091	0.51540190
0.53660297	4.06358242	0.51257712
1.01608038	7.69456482	0.92593509
1.46228218	11.07355785	1.34053349
1.07823157	8.16522217	0.88416773
1.14454556	8.66740417	1.03044868
0.83099359	6.29294109	0.77558762
0.93685097	7.09457684	0.77921742
0.85872442	6.50294065	0.77242523
0.88383043	6.69306326	0.76049638
0.60060740	4.54827452	0.54886162
0.60088056	4.55034304	0.61242765
0.70063692	5.30577707	0.66186881
1.63463116	12.37872028	1.56881797
1.28738487	9.74909687	1.16943157
1.04540789	7.91665602	0.90782279
1.02276123	7.74515724	0.97903895
1.48449731	11.24178791	1.37926149
1.10586405	8.37447739	1.07629216
0.86360562	6.53990507	0.85840446
1.06649661	8.07635593	0.87021840
0.99840617	7.56072140	0.91899174
1.02072883	7.72976589	0.84556019
0.95035291	7.19682407	0.87089825
0.63420528	4.80270433	0.53880847
0.82867521	6.27538443	0.81371921
1.45509660	11.01914215	1.22511959
1.21032703	9.16555405	1.12633502
0.95254987	7.21346140	0.91143167
0.80507749	6.09668350	0.68153179
0.68120009	5.15858603	0.63329625
1.09573901	8.29780293	1.03993320
1.81001687	13.70687962	1.65434170
