std DVARS	non-std DVARS	vx-wise std DVARS
1.70317209	12.61806297	1.60501277
1.03882515	7.69620514	0.83293784
0.82824099	6.13607788	0.79670131
0.63840675	4.72967863	0.60197181
0.87840778	6.50774193	0.87768924
1.18879902	8.80729580	1.06700218
1.63727510	12.12986088	1.54589987
1.05863953	7.84300041	0.94094515
1.13836932	8.43368435	1.03493476
0.91204005	6.75690889	0.84320801
0.67186320	4.97754288	0.61634338
0.60574931	4.48773384	0.55174822
0.89434123	6.62578583	0.86240280
1.02229345	7.57372856	0.96641511
1.51133800	11.19684696	1.54572713
0.88818681	6.58019066	0.80744183
0.65037090	4.81831551	0.56773394
0.78907758	5.84593344	0.74842346
0.74771577	5.53950167	0.67657620
0.93425578	6.92149544	0.91685349
0.93638730	6.93728733	0.79790884
0.59285963	4.39223957	0.55303693
1.14052856	8.44968128	1.02018094
0.80663222	5.97598791	0.67042994
0.74445611	5.51535225	0.69970423
0.62456930	4.62716293	0.58597314
0.63992149	4.74090052	0.59471583
1.04595697	7.74904156	0.96515977
1.46000683	10.81655693	1.33365893
1.35294688	10.02339649	1.20407963
1.62292838	12.02357197	1.34668159
1.06636870	7.90026283	0.88232142
1.20385051	8.91880608	1.13406324
0.73727000	5.46211338	0.63750815
0.59218496	4.38724136	0.60787672
1.26787961	9.39316940	1.27077246
1.43545806	10.63468552	1.23844457
1.14380705	8.47397041	1.03565502
1.29299307	9.57922459	1.15239096
1.06389952	7.88196993	0.89061445
1.11742175	8.27849293	0.94842774
0.69439262	5.14445353	0.62768006
0.73923820	5.47669506	0.60082179
0.81130373	6.01059723	0.70654118
2.34486604	17.37209511	2.72496438
2.28670049	16.94117165	2.68211246
0.81270367	6.02096891	0.79195130
1.03179586	7.64412785	0.93826520
0.93786365	6.94822454	0.77396488
1.28240311	9.50076771	1.09340823
1.32000041	9.77931023	1.15212524
1.24142230	9.19715881	0.93527484
1.05804694	7.83861065	0.94258815
0.81772888	6.05819845	0.70549953
0.64179903	4.75481033	0.58226866
0.73758078	5.46441603	0.63033593
0.59020996	4.37260962	0.55592686
0.97518724	7.22473907	0.95596552
0.74309933	5.50530052	0.63114661
0.79591060	5.89655638	0.74078810
1.07835817	7.98908758	0.99446452
1.53253794	11.35390854	1.39048815
1.18009210	8.74279022	1.12720287
1.30598962	9.67551041	1.20233560
1.38130307	10.23347473	1.10762346
1.28312910	9.50614643	1.19459140
0.89744550	6.64878416	0.83867127
0.66356564	4.91606998	0.61340392
1.01342607	7.50803423	0.92621028
1.46763742	10.87308884	1.38385379
1.08997285	8.07513618	0.88453507
0.94934469	7.03328276	0.77478248
0.85222155	6.31373978	0.78763437
0.72784019	5.39225197	0.69464070
0.64275658	4.76190472	0.70084256
0.71928120	5.32884216	0.67421407
1.49903440	11.10569572	1.41350198
1.39259136	10.31710529	1.22849607
1.46205413	10.83172417	1.41917241
1.23607421	9.15753746	1.11109102
1.35722458	10.05508804	1.11319566
0.68982017	5.11057806	0.62886971
0.86869776	6.43580484	0.82024181
0.69808382	5.17180014	0.63945442
0.73537958	5.44810820	0.64104325
0.57409054	4.25318766	0.53014547
0.91511589	6.77969646	0.84666270
1.14570749	8.48804951	1.09635735
0.93586373	6.93340826	0.83941770
1.09794748	8.13421631	0.82557636
0.92995477	6.88963127	0.81129462
0.85353243	6.32345152	0.77060610
0.87763417	6.50201082	0.78050297
0.86930555	6.44030762	0.73076952
1.03410482	7.66123390	0.83690697
0.93075985	6.89559555	0.88368082
0.88366288	6.54667473	0.69082069
0.73162293	5.42027664	0.61859840
1.10599124	8.19380951	1.05569673
1.30320346	9.65486908	1.23098183
1.29099333	9.56440926	1.14474761
0.89777750	6.65124369	0.81453770
1.24354017	9.21284962	1.17192388
1.20889676	8.95619106	0.95204568
0.89273649	6.61389732	0.82083219
0.72923362	5.40257549	0.75421035
0.75905240	5.62348986	0.66380441
0.65110010	4.82371807	0.61137164
1.21020818	8.96590710	1.08798957
0.68216336	5.05385208	0.61547667
0.57911605	4.29041958	0.52646488
0.54850650	4.06364679	0.52472049
1.03861856	7.69467402	0.95093066
1.49471962	11.07372856	1.37144756
1.10214961	8.16534805	0.90030730
1.16993546	8.66754436	1.05729043
0.84942812	6.29304409	0.79255879
0.95763361	7.09469175	0.79377419
0.87777281	6.50303793	0.79055130
0.90343606	6.69316578	0.77651399
0.61393058	4.54834509	0.56037706
0.61420906	4.55040836	0.62781072
0.71617866	5.30585670	0.67836714
1.67089117	12.37890720	1.61059940
1.31594121	9.74923706	1.19529021
1.06859696	7.91677094	0.92863899
1.04544914	7.74527884	1.00183892
1.51742721	11.24195957	1.41184640
1.13039482	8.37460423	1.10210538
0.88276255	6.54000473	0.87975383
1.09015381	8.07647610	0.88715804
1.02055323	7.56083584	0.93937695
1.04337072	7.72988081	0.86382824
0.97143418	7.19693422	0.89381355
0.64827311	4.80277395	0.55080682
0.84705698	6.27547741	0.83446938
1.48737562	11.01932049	1.25301635
1.23717654	9.16570377	1.15622544
0.97367984	7.21357155	0.93041331
0.82293528	6.09677029	0.69365585
0.69631082	5.15866470	0.64976603
1.12004375	8.29791832	1.06647003
1.85016811	13.70709229	1.69189906
